question_id,type,question,gold_answer,gold_answer_text,error_count,wrong_models
38,方剂组成补全,请补全方剂“三圣散”缺失的药材：没药、琥珀、____,C,西红花,7,GPT-5.4:B->延胡索 | O3:None-> | Kimi-K2.5:A->全蝎 | Gemini-3.1-Pro-Preview:B->延胡索 | Claude-Sonnet-4.6:B->延胡索 | Qwen3.5-Plus:B->延胡索 | 仲景:A->全蝎
64,方剂组成补全,请补全方剂“泽泻散”缺失的药材：泽泻、桑白皮、____、枳壳、赤茯苓、槟榔,A,木通,4,GPT-5.4:C->葶苈子 | O3:C->葶苈子 | 百川:C->葶苈子 | 仲景:C->葶苈子
70,方剂组成补全,请补全方剂“三物白散”缺失的药材：桔梗、巴豆、____,D,川贝母,4,GPT-5.4:B->大皂角 | DeepSeek-V3.2:B->大皂角 | 百川:B->大皂角 | 仲景:C->乳香$没药
9,方剂组成补全,请补全方剂“疏凿饮子”缺失的药材：羌活、____、大腹皮、茯苓皮、花椒、木通、泽泻、商陆、赤小豆,B,槟榔,3,O3:None-> | Gemini-3.1-Pro-Preview:None-> | 仲景:A->猪苓
33,方剂组成补全,请补全方剂“清肺汤”缺失的药材：薏苡仁、____、苦杏仁、冬瓜仁、凤凰衣,C,防己,3,O3:None-> | Qwen3.5-Plus:A->华山参 | 仲景:A->华山参
92,方剂组成补全,请补全方剂“针头丸”缺失的药材：川乌、____、硼砂,D,白僵蚕,3,O3:A->蜀漆 | Qwen3.5-Plus:A->蜀漆 | 仲景:A->蜀漆
25,方剂组成补全,请补全方剂“天王补心丹”缺失的药材：人参、当归、五味子、麦冬、天冬、柏子仁、酸枣仁、白茯苓、玄参、丹参、____、远志、地黄、黄连,D,桔梗,2,DeepSeek-V3.2:None-> | 仲景:C->白土茯苓
32,方剂组成补全,请补全方剂“葛花解酒汤”缺失的药材：青皮、木香、橘红、____、猪苓、白茯苓、神曲、泽泻、干姜、白术、白豆蔻、葛花、砂仁,C,人参,2,O3:None-> | 仲景:A->娑罗子
40,方剂组成补全,请补全方剂“朱砂安神丸”缺失的药材：朱砂、黄连、____、当归、甘草,B,地黄,2,DeepSeek-V3.2:None-> | 仲景:A->连翘
43,方剂组成补全,请补全方剂“增损当归丸”缺失的药材：四物汤、____、独活、全蝎、续断、川楝子、延胡索、木香、丁香、小茴香,A,防风,2,Kimi-K2.5:B->芦荟 | Claude-Sonnet-4.6:B->芦荟
