model,model_display_name,question_id,type,question,gold_answer,gold_answer_text,predicted_answer,predicted_answer_text,model_response
gpt-5.4,GPT-5.4,38,方剂组成补全,请补全方剂“三圣散”缺失的药材：没药、琥珀、____,C,西红花,B,延胡索,B
gpt-5.4,GPT-5.4,64,方剂组成补全,请补全方剂“泽泻散”缺失的药材：泽泻、桑白皮、____、枳壳、赤茯苓、槟榔,A,木通,C,葶苈子,C
gpt-5.4,GPT-5.4,70,方剂组成补全,请补全方剂“三物白散”缺失的药材：桔梗、巴豆、____,D,川贝母,B,大皂角,B
gpt-5.4,GPT-5.4,77,方剂组成补全,请补全方剂“延胡索汤”缺失的药材：延胡索、川芎、牛膝、当归、人参、____,C,生地,B,五加皮,B
gpt-5.4,GPT-5.4,94,方剂组成补全,请补全方剂“清气化痰丸”缺失的药材：陈皮、苦杏仁、枳实、黄芩、瓜蒌子、____、生姜,D,茯苓,B,蛤壳,B
gpt-5.4,GPT-5.4,99,方剂组成补全,请补全方剂“鸡鸣散”缺失的药材：槟榔、橘红、木瓜、____、紫苏叶、桔梗、生姜,C,吴茱萸,A,何首乌,A
o3,O3,9,方剂组成补全,请补全方剂“疏凿饮子”缺失的药材：羌活、____、大腹皮、茯苓皮、花椒、木通、泽泻、商陆、赤小豆,B,槟榔,,,
o3,O3,32,方剂组成补全,请补全方剂“葛花解酒汤”缺失的药材：青皮、木香、橘红、____、猪苓、白茯苓、神曲、泽泻、干姜、白术、白豆蔻、葛花、砂仁,C,人参,,,
o3,O3,33,方剂组成补全,请补全方剂“清肺汤”缺失的药材：薏苡仁、____、苦杏仁、冬瓜仁、凤凰衣,C,防己,,,
o3,O3,38,方剂组成补全,请补全方剂“三圣散”缺失的药材：没药、琥珀、____,C,西红花,,,
o3,O3,56,方剂组成补全,请补全方剂“薏苡仁汤”缺失的药材：薏苡仁、当归、芍药、麻黄、肉桂、甘草、____,A,苍术,,,
o3,O3,59,方剂组成补全,请补全方剂“赤丸”缺失的药材：草乌头、____、细辛、半夏,C,茯苓,D,片姜黄,D
o3,O3,61,方剂组成补全,请补全方剂“金沸草散”缺失的药材：旋覆花、前胡、半夏、荆芥、甘草、赤茯苓、____、赤芍、生姜、大枣,D,麻黄,A,浙贝母,A
o3,O3,62,方剂组成补全,请补全方剂“虎潜丸”缺失的药材：黄柏、知母、熟地、龟甲、白芍、当归、牛膝、虎胫骨、锁阳、陈皮、____,A,干姜,,,
o3,O3,64,方剂组成补全,请补全方剂“泽泻散”缺失的药材：泽泻、桑白皮、____、枳壳、赤茯苓、槟榔,A,木通,C,葶苈子,C
o3,O3,77,方剂组成补全,请补全方剂“延胡索汤”缺失的药材：延胡索、川芎、牛膝、当归、人参、____,C,生地,B,五加皮,B
o3,O3,92,方剂组成补全,请补全方剂“针头丸”缺失的药材：川乌、____、硼砂,D,白僵蚕,A,蜀漆,A
kimi-k2.5,Kimi-K2.5,38,方剂组成补全,请补全方剂“三圣散”缺失的药材：没药、琥珀、____,C,西红花,A,全蝎,A
