model,model_display_name,question_id,type,question,gold_answer,gold_answer_text,predicted_answer,predicted_answer_text,model_response
gpt-5.4,GPT-5.4,2,药材别名识别,下列哪一项是中药“杠板归”的别名？,B,利酸浆,C,剪刀草,C
gpt-5.4,GPT-5.4,4,药材别名识别,下列哪一项是中药“益母草”的别名？,C,苦低草,A,活血草,A
gpt-5.4,GPT-5.4,5,药材别名识别,下列哪一项是中药“北豆根”的别名？,B,黄条香,C,支连,C
gpt-5.4,GPT-5.4,10,药材别名识别,下列哪一项是中药“水红花子”的别名？,A,水泻花,C,刚子,C
gpt-5.4,GPT-5.4,25,药材别名识别,下列哪一项是中药“款冬花”的别名？,D,艾冬花,A,婪尾春,A
gpt-5.4,GPT-5.4,30,药材别名识别,下列哪一项是中药“豨莶草”的别名？,D,山甘草,A,猪屎草,A
gpt-5.4,GPT-5.4,32,药材别名识别,下列哪一项是中药“一枝黄花”的别名？,D,朝鲜一枝蒿,A,宛童,A
gpt-5.4,GPT-5.4,42,药材别名识别,下列哪一项是中药“徐长卿”的别名？,A,蜈蚣草,C,野木瓜,C
gpt-5.4,GPT-5.4,49,药材别名识别,下列哪一项是中药“狗脊”的别名？,A,狗青,C,棕皮,C
gpt-5.4,GPT-5.4,52,药材别名识别,下列哪一项是中药“白术”的别名？,D,山姜,B,拿子,B
gpt-5.4,GPT-5.4,57,药材别名识别,下列哪一项是中药“巴豆”的别名？,B,八百力,C,泥冰子,C
gpt-5.4,GPT-5.4,63,药材别名识别,下列哪一项是中药“忍冬藤”的别名？,D,大薜荔,A,九节莲,A
gpt-5.4,GPT-5.4,64,药材别名识别,下列哪一项是中药“徐长卿”的别名？,A,药王,C,因地辛,C
gpt-5.4,GPT-5.4,68,药材别名识别,下列哪一项是中药“草血竭”的别名？,A,地蜂子,B,没多僧,B
gpt-5.4,GPT-5.4,73,药材别名识别,下列哪一项是中药“白花蛇舌草”的别名？,B,奶沙尔,A,猫蓟,A
gpt-5.4,GPT-5.4,81,药材别名识别,下列哪一项是中药“淫羊藿”的别名？,B,刚前,D,白毛串,D
gpt-5.4,GPT-5.4,96,药材别名识别,下列哪一项是中药“射干”的别名？,D,黄知母,B,母鸡带仔,B
gpt-5.4,GPT-5.4,97,药材别名识别,下列哪一项是中药“北豆根”的别名？,B,黄根,A,青香藤,A
o3,O3,2,药材别名识别,下列哪一项是中药“杠板归”的别名？,B,利酸浆,A,斑杖,A
o3,O3,4,药材别名识别,下列哪一项是中药“益母草”的别名？,C,苦低草,A,活血草,A
o3,O3,6,药材别名识别,下列哪一项是中药“珠子参”的别名？,B,白地瓜,D,川明参,D
o3,O3,7,药材别名识别,下列哪一项是中药“樗鸡”的别名？,C,灰花蛾,,,
o3,O3,9,药材别名识别,下列哪一项是中药“百蕊草”的别名？,A,积药草,,,
o3,O3,10,药材别名识别,下列哪一项是中药“水红花子”的别名？,A,水泻花,C,刚子,C
